id;name;description;measurement_order;measurement_unit
1;XML;Harbors Sausages;21169;firmware Fresh
2;Marketing invoice;mint;36488;Reactive
3;panel Computers;Fish expedite regional;66082;application frame invoice
4;Riyal International bypassing;leading-edge;9558;Product compress
5;Balanced Usability Infrastructure;Markets parse;27435;sexy Group
6;Frozen Gorgeous Gorgeous;Mouse;30003;Maryland JBOD
7;Tuna methodologies;RAM grow;13409;Jewelery Developer Minnesota
8;RSS;neural-net calculate Wyoming;11713;Brand Beauty Fresh
9;Human transmit;Account;12100;Borders Interface
10;channels;infomediaries;78464;quantifying Vision-oriented
