id;note;image;image_content_type;weight_date
1;matrices evolve Granite;../fake-data/blob/hipster.png;image/png;2021-11-26T17:16:32
2;Virginia;../fake-data/blob/hipster.png;image/png;2021-11-26T12:35:12
3;Pre-emptive;../fake-data/blob/hipster.png;image/png;2021-11-26T10:04:25
4;Flats blue;../fake-data/blob/hipster.png;image/png;2021-11-26T16:09:58
5;Flat THX Dalasi;../fake-data/blob/hipster.png;image/png;2021-11-26T14:33:41
6;Guiana;../fake-data/blob/hipster.png;image/png;2021-11-26T20:36:18
7;salmon International invoice;../fake-data/blob/hipster.png;image/png;2021-11-26T17:17:38
8;bus AI;../fake-data/blob/hipster.png;image/png;2021-11-26T20:48:16
9;hacking;../fake-data/blob/hipster.png;image/png;2021-11-26T18:10:23
10;red Small;../fake-data/blob/hipster.png;image/png;2021-11-26T13:48:02
